Year,Description,Category
1969,San Diego–Coronado Bay Bridge opens,Transportation
1977,San Diego Transit carries over 30 million passengers on 44 routes with a fleet of 350 buses and a flat-rate fare of $0.35.,Transportation
1979,MTDB's Board Member Maureen O'Connor negotiates purchase of SD&AE Railway For $18.1 million. Annual ridership in this decade improves from 18 million to 35 million.,Transportation
1980,"The San Diego Trolley, first line in the city’s new light-rail transit system, is dedicated.",Transportation
1981,"San Diego Trolley begins service to border! San Diego Trolley inaugural run takes place on 15.9 ""South Line"" between U.S. International Border and Downtown San Diego.",Transportation
1985,East Line,Transportation
1990,Bayside Line,Transportation
1992,North Line,Transportation
1995,COASTER service began,Transportation
1996,"SANDAG starts the I-15 FasTrak Program to improve traffic flow, and expand bus and rideshare services in the corridor. ",Transportation
1998,San Diego International Airport: Port expands San Diego Airport Terminal 2,Transportation
1998,Mission Valley Line,Transportation
2004,TransNet given 40 year extension,Transportation
2008,The first stretch of I-15 Express Lanes opens.,Transportation
2009,Launched SuperLoop service in University City.,Transportation
2010,SANDAG announces 2050 Regional Bike Plan,Transportation
2010,Compass Card program rolled out to all transit riders; monthly paper passes discontinued.,Transportation
2011,SR 52 opens in March,Transportation
2012,Opened the last four miles of the I-15 Express Lanes.,Transportation
2012,Daimler launched the first all electric free-float carshare program in SD,Transportation
2014,"Launched Rapid services along the I-15 corridor and in the Mid-City area, including Rapid 215, Rapid 235, and Rapid 237, and began construction on Downtown San Diego Rapid stations.",Transportation
2015,Completed renovation of Trolley Blue Line stations from Barrio Logan to San Ysidro and added 65 new low-floor vehicles to the Orange and Blue Trolley Lines as part of the Trolley Renewal Project.,Transportation
2015,Completed construction on a .6-mile extension of the Bayshore Bikeway along Harbor Drive between 32nd Street and Vesta Street.,Transportation
2016,Mid Coast Trolley construction begins,Transportation
2016,"Opened Segment 1 of the SR 11/Otay Mesa East Port of Entry Project, a brand new freeway in Otay Mesa, near the U.S.-Mexico border.",Transportation
2016,"Completed the I-805 North Project, which created two carpool lanes between SR 52 and Mira Mesa Boulevard. The project also included a direct access ramp (DAR) at Carroll Canyon Road, which enables carpools, buses, and other eligible vehicles to go straight into the High-Occupancy Vehicle (HOV) lanes.",Transportation
2017,"Completed $28.1 million in improvements to the Oceanside Transit Center, which made the station more efficient by adding a third track and an additional platform. ",Transportation
2018,dockless mobility exploded in San Diego,Transportation
2019,"Launched South Bay Rapid Service between the Otay Mesa Transit Center (at the Otay Mesa international border crossing), the communities of eastern Chula Vista, and downtown San Diego.",Transportation
1850,California is granted statehood by the United States of America.,Tourism
1856,"Whaley House, built by Thomas Whaley, is the oldest brick structure in southern California. In addition to being the home of the Whaley family, it served variously as granary, store, court-house, and school and as the town’s first theater.",Tourism
1863,"The iron ship Star of India, built on the Isle of Man in 1863, is towed to San Diego but remains in disrepair for the next 30 years.",Tourism
1869,"Albert Seeley purchases the run-down Bandini Adobe in Old Town and spends six months in renovation of the old home to create the Cosmopolitan Hotel, building the Seeley Stables next door.",Tourism
1869,"Alonzo Horton completes a wharf at the end of 5th Avenue, at a cost of about $45,000. On March 24, Horton sells $5,500 worth of commercial and residential lots in one day. His new town begins to boom.",Tourism
1869,"Horton Hall opens around Christmas 1869. This two-story brick building on the southeast corner of Sixth and F streets has shops downstairs and a meeting hall with 400 seats upstairs, serving as downtown’s first public theater.",Tourism
1870,"San Diego becomes the first city west of the Mississippi to set aside land for an urban park. This 1440 acre tract becomes the site for City Park, now Balboa Park.",Tourism
1870,first major hotel was built,Tourism
1880,Frank Kimball of National City founds the San Diego County Fair.,Tourism
1885,Construction of Hotel del Coronado begins in 1886,Tourism
1892,"Fisher Opera House opens on Fourth Street between B and C, an opulent but practical house seating 1400 in the best theater on the West Coast.",Tourism
1907,"Development of Presidio Park begins; Marston, Spreckels, Scripps and other investors begin buying Presidio property to preserve as a park.",Tourism
1911,Miramar Air show hold inaugural show,Tourism
1912,"Spruce Street’s suspension bridge, between Front and Brant, was built to give residents access to the streetcars running along Fourth.",Tourism
1912,Spreckels Theatre opens with 1915 seats (the year of the coming Exposition). It is the first modern commercial playhouse west of the Mississippi.,Tourism
1913,Broadway Pier is constructed with a $1.7 million bond issued by the city.,Tourism
1914,"Santa Fe Depot construction begins June 15, replacing the earlier Grand Union Depot.",Tourism
1915,San Diego hosts the Panama-California Exposition,Tourism
1916,Dr. Harry Wegeforth brings the San Diego Zoo into being when animals imported for the 1915 Panama-California Exposition are quarantined and not allowed to leave.,Tourism
1925,Mission Beach Amusement Center (now Belmont Park) opens.,Tourism
1927,"The Fine Arts Gallery in Balboa Park, designed by William Templeton Johnson and funded by Appleton Bridges, is dedicated & opens to the public. It is now the San Diego Museum of Art.",Tourism
1927,El Cortez Hotel opens as San Diego’s “finest” furnished apartment-hotel.,Tourism
1928,San Diego Municipal Airport – Lindbergh Field was dedicated,Tourism
1933,The Natural History Museum opens in Balboa Park,Tourism
1935,The Old Globe Theatre opens in Balboa Park,Tourism
1936,Del Mar turf Club (del mar racetrack) opens,Tourism
1938,San Diego Civic Center opens,Tourism
1949,Pacific Southwest Airlines established its headquarters in San Diego and started service at Lindbergh Field,Tourism
1952,San Diego Open (now Farmers Insurance Open) begins annual golf tournament,Tourism
1961,American Football League Chargers open first season at Balboa Stadium.,Tourism
1961,Mission Valley Shopping Center opens.,Tourism
1964,Seaworld opens,Tourism
1966,Bob Breitbard completes Sports Arena in Midway area.,Tourism
1967,"$27 million San Diego Stadium opens in Mission Valley as home to the San Diego Chargers and the San Diego State University Aztecs football team, and expanded to the San Diego Padres in 1969.",Tourism
1968,The minor-league San Diego Padres become a Major League Baseball team,Tourism
1969,San Diego–Coronado Bay Bridge opens,Tourism
1970,"San Diego City Council dedicates 6,000 acre La Jolla Underwater Park",Tourism
1970,Comic-Con,Tourism
1970,Mexican-American community campaigns for creation of Chicano Park beneath San Diego-Coronado Bay Bridge.,Tourism
1970,Port of San Diego: First Port cruise ship call out of San Diego,Tourism
1973,Reuben H. Fleet Space Theater opens to the public in Balboa Park.,Tourism
1985,Horton Plaza shopping center opens,Tourism
1988,San Diego hosts its first Super Bowl,Tourism
1998,Coors Amphitheatre opens in Chula Vista,Tourism
1998,Super Bowl held in (renamed) Qualcomm Stadium,Tourism
1998,Rock n’ Roll Marathon hold inaugural marathon,Tourism
1999,Legoland California opens in Carlsbad.,Tourism
2003,Super Bowl 37 held at Qualcomm Stadium,Tourism
2004,Petco Park Opens,Tourism
2004,USS Midway opened as a museum to the public,Tourism
2013,The Headquarters opens in former San Diego Police Headquarters,Tourism
2014,Holiday Bowl begins hosting power 5 conference teams,Tourism
2015,Kaaboo Music and Arts Festival holds inaugural show in del mar,Tourism
2016,MLB sends All Star Week to Petco Park,Tourism
1877,Lieutenant Reade of the U.S. Weather Bureau gives first public demonstration of the telephone in San Diego County.,Innovation
1882,San Diego Telephone Company begins operation,Innovation
1883,"John Montgomery makes world’s first “controlled flight” in a “heavier than air” craft, flying 600 feet in a glider at Otay Mesa. Montgomery is later killed in a 1911 glider crash.",Innovation
1886,First electric street lights installed in San Diego.,Innovation
1888,"Sweetwater Dam, a major engineering feat and San Diego County’s first major dam, is completed by the Kimball Brothers Water Company, supplying water for National City and Chula Vista. Speeches and music mark the celebration on April 19. The dam measures 396 feet in length and 12 feet wide at the top, 75 feet in length and 46 feet wide at the base. Original plans for building the dam 60 feet in height were changed to 98 feet, increasing capacity of the reservoir fivefold.",Innovation
1911,"Glenn Hammond Curtiss makes world’s first successful seaplane flight from waters off Spanish Bight, a mile-ling stretch between North Island and Coronado (now filled in).",Innovation
1927,"Charles Lindbergh departs from Rockwell field, North Island, Coronado, in the Spirit of St. Louis, a custom M-1 monoplane built in San Diego by Ryan Airlines. Lindbergh completes his historic solo nonstop flight from New York to Paris May 20-21.",Innovation
1937,"Richard Archbold makes first transcontinental flight from San Diego to New York City in a seaplane built by Consair. The following year the Archbold expedition sets off from San Diego on a global survey of potential oceanic and continental air routes (pilots Steve Barinka, Russell Rogers). It arrives back in San Diego on July 6, 1939 as the first around-the-world seaplane flight at the equator.",Innovation
1948,Palomar Observatory opens in June. Construction on the 200-inch mirror had begun in 1934.,Innovation
1953,WD-40 invented in a small lab in San Diego,Innovation
1979,The Life Flight helicopter-ambulance program is inaugurated.,Innovation
1984,UC San Diego is designated one of the first five national Alzheimer’s disease research centers by the National Institute on Aging.,Innovation
1986,"The San Diego Supercomputer Center opens at the University of California, San Diego, providing the national research community with access to the highest-performance computers available.?",Innovation
2013,Forbes ranks San Diego among nation’s top 10 cities with greenest cars,Innovation
2014,"SDG&E territory reached 10,000 electric vehicles on the road - California hit 100,000 mark",Innovation
2015,"the Water Authority helped develop the nation's largest seawater desalination plant, the Claude ""Bud"" Lewis Carlsbad Desalination Plant. Commercial water production at the plant started in December 2015, and it produces approximately 50 million gallons of high-quality drinking water each day, further protecting the San Diego region from water supply shortages.",Innovation
2016,"UC San Diego Health surgeons perform the region's first heart-liver transplant. The academic medical center is the only local hospital to perform heart-lung, living-donor liver, and multi-organ chest-abdominal transplants.",Innovation
2018," Port of San Diego has secured a nearly $5 million grant for the installation of a renewable, solar-powered microgrid at the Tenth Avenue Marine Terminal, one of the Port’s two marine cargo terminals.",Innovation
2019,The San Diego region ranked #2 in the nation in solar installations.,Innovation
2019,"The San Diego Ocean Planning Partnership has released an interactive, user-friendly Web Mapping Application that is designed to help users better understand the dynamic ocean space and ocean-related data offshore San Diego County.",Innovation
1899,"Army establishes Fort Rosecrans, named after General Rosecrans, an 1842 graduate of the US Military Academy. It remains an Army base until transfer to the Navy in 1959 for the purpose of building a submarine base on Ballast Point.",Military
1908,Great White Fleet,Military
1912,"Navy establishes a base on North Island, with three airplanes and three fliers. On Thanksgiving Day, 1912, the Army Signal Corps establishes Rockwell Field with an aviation school on North Island.",Military
1917,Army Camp Kearny (later MCAS Miramar) and Marine Corps Camp Mathews (later UCSD),Military
1917,U.S. Navy opens the most powerful radio station in the Western Hemisphere at Chollas Heights.,Military
1917,"World War I prompts San Diego military buildup. Camp Kearny is established, named in honor of Gen. Stephen Kearny who led the Army of the West to San Diego in 1846. It costs $4.5 million to build and is closed in 1920.",Military
1917,"U.S. Marine Base and Naval Hospital approved; government purchases North Island, its Rockwell Field shared by the Army and Navy until 1939.",Military
1919,Commander Navy Southwest established (formerly known as Naval Base San Diego / Eleventh Naval District),Military
1921,Naval Training Center San Diego (Marine Corps Recruit Depot),Military
1922,US Navy Destroyer Base (Naval Base San Diego),Military
1924,First US Aircraft Carrier (USS Langley) operates out of North Island,Military
1925,US Naval Hospital,Military
1937,US Coast Guard Air Station,Military
1939,National War Emergency Declared,Military
1939,"Naval Air Station, Miramar develops on the site of Camp Kearny.",Military
1940,Marine Base Camp Elliott,Military
1941,"San Diego Naval Air Station begins training pilots for U.S. Air Force (a total of 31,400 during World War II).",Military
1942,"Navy acquires Rancho Santa Margarita for Camp Pendleton Marine base on 126,000 acres north of Oceanside.",Military
1944,Navy begins emergency construction of aqueduct to bring Colorado River water to San Diego.,Military
1945,Navy Electronics Laboratory Established (NAVWAR?),Military
1946,Submarine Group San Diego (Naval Base Point Loma),Military
1952,Miramar Naval Air Station,Military
1955,General Atomics,Military
1957,"First test of USAF Atlas A missile is launched, built in San Diego by Convair. Fort Rosecrans transferred to US Navy.",Military
1969,Coronado Bridge Opens,Military
1980,SANDAG and Armed Forces MOA (revised in 1986),Military
1998,Navy embarked on a new era of Shore Management,Military
2008,San Diego Military Advisory Council (SDMAC) begins conducting its Military Economic Impact Study (MEIS),Military
2011,Navy Broadway Complex Redevelopment Project,Military
2014,"SPAWAR has nearly 10,000 employees, and close to 5,000 of them work in San Diego developing the hardware and software that keeps naval forces connected. The business pumps more than $1.7 billion into the San Diego economy.",Military
2017,SANDAG and Armed Forces MOA revised appointing Civilian CEO of Navy Region Southwest on Board and San Diego Regional Military Working Group,Military
2016,"An estimated total of $23 billion in direct spending related to defense was sent to San Diego County during fiscal year 2016, an amount equal to more than $7,000 for each of the county's residents.",Military
2020,NAVWAR Redevelopment Exclusivity Agreement,Military
Pre-colonial,"Archeological evidence shows at least 12,000 years of habitation in San Diego County, including the border region. Kumeyaay inhabit the land that will become the cities of San Diego and Tijuana.",Tribal Nations
Pre-colonial,"The four ethnic groups that have lived in the San Diego region are: Kumeyaay, Cupeńo, Cahuilla, Luseńo",Tribal Nations
Pre-1769,"Over millenia, local Native Americans establish a rich, productive balance with the local natural resources; sufficient for a population in the tens of thousands.",Tribal Nations
Pre-1769,"Local Native Americans harvest the sea, manage the chaparral and learn to utilize the deserts of Imperial Valley",Tribal Nations
Pre-1769,"Local Native Americanschart the sky as astronomers, master the botanical characteristics of local plants, create and enhance water storage in wetlands.",Tribal Nations
1769-1821,Local Native Americans become skilled horsemen and fur traders.  They provide the labor force for the first Spanish led communities.,Tribal Nations
1821-1850,Independent Kumeyaay warriors begin to dominate most of inland San Diego County,Tribal Nations
1850-1930,"Local Native Americans work as tradesmen work in coastal communities, some take crewmen positions on whaling ships",Tribal Nations
1850-1931,Local Native Americans provide domestic and day labor for the building of initial San Diego infrastructure.,Tribal Nations
1850-1932,"Treaty lands, pueblos lands and water sources are taken or diverted from the Local Native Americans to supply the growing coastal population",Tribal Nations
1850-1933,Railroad and Real Estate speculators  combine with city boosters to create a glamorized portrayal of California history and the missions  ,Tribal Nations
1850-1934,"Local Native Americans provide the labor for the first highways, telegraph and railroad through the eastern mountains and desert",Tribal Nations
1850-1935,Native Americans become the backbone of the first migratory crop pickers in California,Tribal Nations
1875,"President Ulysses S. Grant signed an Executive Order creating tribal reservations for Santa Ysabel, Pala, Sycuan, La Jolla, Rincon, and Capitan Grande.",Tribal Nations
1920,Many California Natives join together to challenge federal powers through the Mission Indian Federation,Tribal Nations
1928,California Natives challenge past US actions and obtain a partial settlement for some claims,Tribal Nations
1932,"The people of the Capitan Grande reservation that was established in 1875 were moved to two different ranches in 1932 after the City of San Diego acquired 7,000 acres of land for the El Capitan Reservoir..",Tribal Nations
1940s,American Indians volunteer in large numbers for military service,Tribal Nations
1972,Southern California Tribal Chairmen's Association (SCTCA) is established. It is a nonprofit composed of 20 federally recognized Indian tribes in Southern California with goals to serve the health welfare cultural and economic needs of tribal members.,Tribal Nations
1975,Jamul Indian Village finally receives federal trust status.  Other landless California tribes such as the San Luis Rey Band of Mission Indians continue to seek federal recognition.,Tribal Nations
1980s,Gaming begins to grow in importance to some of the local Indian Nations.,Tribal Nations
1987,California v. Cabazon Band of Mission Indians is passed by the US Supreme Court. It held that Indian Nations have the right to establish gaming standards for any activities that are legal in the State. ,Tribal Nations
1988,Federal Indian Gaming Regulatory Act (IGRA) passes after a long legal battle that went through the US Supreme Court. This law provides framing for national regulation of Native American gaming. ,Tribal Nations
1990s,Most of the tribes had developed or had agreements to develop gaming facilities as a means of economic development,Tribal Nations
1990s,"Indian gaming becomes a key part of the San Diego regional economy. The Barona, Campo, Jamul Indian Village, Pala, Pauma and Yulma, San Pasqual, Sycuan, and Viejas reservations all have open gaming facilities. La Posta and Santa Ysabel have closed gaming facilities. ",Tribal Nations
1990s,Tribal EPA officers are established throughout the region,Tribal Nations
1990,Native American Graves Protection and Repatriation Act is passed to provide avenue for the repatriation of human remains and cultural items ,Tribal Nations
1992,Native American Historic Protection Act is passed and provides avenues for Native American nations to protect their historical cultural lands,Tribal Nations
2000s,Multiple Species Conservation Plan and Multiple Habitat Conservation Plans are passed for many cities in the region. Tribal nations feel frustration at the lack of inclusion of tribal boundaries,Tribal Nations
2000,"Disaster Mitigation Act of 2000 is passed. This requires state, local, and Indian tribal governments to coordinate planning and implementation efforts",Tribal Nations
2001,The County Tribal Liaison Program was established,Tribal Nations
2002,SANDAG hold policy development Board meeting with tribal nations,Tribal Nations
2002,The Native American Tribal Liaison Program was established to work with regional tribes.,Tribal Nations
2003,"The County of San Diego conducts a Traffic Impact Assessment related to tribal developments. The report identifies improvement opporunities on SR 76, 67, 94 as they are heavily trafficked roads for those heading to gaming facilities.",Tribal Nations
2003,Caltrans and SANDAG create the first regional map that includes tribal nations,Tribal Nations
2004,SANDAG creates the Tribal Liaison Program,Tribal Nations
2004,Transnet Extension Ordinance and Expenditure Plan approved by the voters. This provides funding for transportation and environmental efforts,Tribal Nations
2005 - 2009,"The Safe, Accountable Flexible, Efficient Transportation Equity Act: A Legacy for Users, the Indian Reservation Roads (IRR) program funding formula was revised to allow tribes to include off-reservation transportation facilities critical to reservations as part of their tribal transportation system. ",Tribal Nations
2005,Southern California Tribal Chairmen's Association (SCTCA) becomes Advisory Member to the Borders Committee,Tribal Nations
2005,SB 18 require cities and counties to consult with tribal nations when conducting any element of the general plan,Tribal Nations
2006,San Diego Regional Tribal Summit hosted by the Pala Band of Mission Indians,Tribal Nations
2006,Interagency Technical Working Group on Tribal Transportation formed to facilitate exchange between tribal nations and public agencies. 14 of the 17 tribes in the region are members of the group.,Tribal Nations
2006,Intertribal Court of Southern California begins operations.,Tribal Nations
2007,2007 Poomacha Fire destroyed 99% of the La Jolla band of Luseńo reservation.,Tribal Nations
2007,SANDAG and the Southern California Tribal Chairmen's Association signed MOU for representation on Board and Policy Advisory Committees,Tribal Nations
2007,Tribal Transit Feasibility Study was conducted after Caltrans gave San Diego a technical grant. The study analyze connections between transit district and travel reservations. The study lead to improvements to I-15 to SR 76 and bus route improvement through a Reservation Transportation Authority grant,Tribal Nations
2007,Intertribal Long-Term Recovery Foundation is formed after wildfires of 2007. The foundation addresses long-term recovery for Native American needs in relation to natural disasters,Tribal Nations
2008,Tribal Transportation Feasibility Study conduct to understand the connections between the tribal reservations and the transit system,Tribal Nations
2009,Reservation Transportation Authority awarded Tribal Transit Grant to supplement North County Transit District route 388/389,Tribal Nations
2010,San Diego Regional Tribal Summit hosted by the Rincon Band of Luiseno Indians. Emphasis on tribal employment and involvement of tribal nations and influence of tribal transportation projects,Tribal Nations
2010,Creation of Office of the Tribal Advisor through Exec Order B-10-11 which emphasized the importance of tribal-state relations,Tribal Nations
2011,2050 RTP has a tribal component in the Project Evaluation and Performance Measures criteria,Tribal Nations
2012,"The Moving Ahead for Progress in the 21st-Century Act, removed the provision that allowed tribes to include all preservation transportation facilities. This strips tribal resources to plan for mobility and transportation. See ""2005-2009"" for the original laws that were changed",Tribal Nations
2012,Helping Expedite and Avance Responsible Tribal Homeownership Act is passed. This helps conduct home ownership on tribal lands,Tribal Nations
2012,AB 307 goes into effect. It creates a state and local mechanism for federally recognized tribes to be considered public agencies and entered joint power agreements (JPA).,Tribal Nations
2012,VIejas enters JPA with Heartland Fire Authority,Tribal Nations
2014,San Diego Regional Tribal Summit hosted by the Barona Band of Mission Indians,Tribal Nations
2015,Federal legislation requires that federally recognized tribal governments be consulted in the development of Regional Transportation Plans (RTP) and programs,Tribal Nations
2015,Fixing America's Surface Transportation (FAST) Act is passed and reinforces federal emphasis on tribal gov participation,Tribal Nations
2015,San Diego Forward: The Regional Plan (2015 Regional Plan) and Sustainable Communities Strategy 2015 is approved. The RP focuses on transportation improvements in urban areas but most tribes live in rural areas. SANDAG plans on working with different stakeholders including tribal nations.,Tribal Nations
2016,"AB 52 establishes ""Tribal Cultural Resources"" category which requires consideration of tribal cultural value, scientific value, archaeological value",Tribal Nations
2016,Sustainable Groundwater Management Plans and strategies implemented. Many tribes participated as they sit on watersheds,Tribal Nations
2017,"Tribal Consulation Plan approved by SCTCA and BOD board. Elements include leadership meetings between SANDAG and the SCTCA, policy listening sessions, a Tribal Transportation Working Group, a Tribal Summit, and collaboration in the 2019 Regional Plan. ",Tribal Nations
2017,"Tribal Consulation Plan approved by SCTCA and BOD board. Elements include leadership meetings between SANDAG and the SCTCA, policy listening sessions, a Tribal Transportation Working Group, a Tribal Summit, and collaboration in the 2019 Regional Plan. ",Tribal Nations
2018,Intraregional Tribal Transportation Strategy developed as Early Action from 2015 Regional Plan,Tribal Nations
2018,"San Diego Regional Tribal Summit hosted by the Pala Band of Mission Indians. This is the first time tribes discussed ""Emergency Preparedness and Management"" in detail",Tribal Nations
2019,"San Diego Forward: The 2019-2050 Regional Plan is a planning effort that will combine an overall vision for the region's future. SANDAG plans on working with different stakeholders including tribal nations. Some of the goals of the region's tribes in accordance with the plan is to involve the tribes, improve tribal transportation and funding efforts to tribal lands, and information sharing/technical assistance. ",Tribal Nations
2040,"""2040 Statewide Plan"" listening sessions started. The tribal working group participated in these sessions. ",Tribal Nations
Pre-colonial,"Archeological evidence shows at least 10,000 years of habitation in San Diego County, including the border region. Native tribes including the Pai Pai, Cucupa, and the Kumeyaay inhabit the land that will become San Diego and Tijuana.",Binational
1821,"Mexico won its independence from Spain, and San Diego became part of the Mexican territory of Alta California.",Binational
1846,"The Mexican-American war began. Under the terms of the Treaty of Guadalupe Hidalgo in 1848, the U.S. and gained control over the area of San Diego",Binational
1964,"The end of the Bracero program (the official temporary worker arrangement started in 1942) prompts a flow of migrant workers back to Mexico. The Mexican government establishes an industrialization program to create job opportunities for those workers. Maquiladoras, or “assembly plants,” are built in border towns to employ Mexican labor who will assemble goods for the U.S. market. The maquiladora industry increases interdependance between the countries.",Binational
1970s,Mexico became SANDAG Advisory Board Member (then City of San Diego Councilmember Jim Bates led this initiative),Binational
1981,San Diego Trolley begins service to border. San Diego Trolley inaugural run takes place between U.S. International Border and Downtown San Diego.,Binational
1983,Otay Mesa Land Port of Entry (POE) opened,Binational
1985,Otay Mesa POE opens to bidirectional passenger and northbound commercial traffic. Southbound commercial processing continues at San Ysidro (Virginia Ave.),Binational
1994,North America Free Trade Agreement (NAFTA) was enacted. Side agreements result in the creation of the North American Development Bank (NADB) and the Border Environmental Cooperation Commission (BECC) spurring high levels of border related investment.,Binational
